age,gender,race,importance_same_religion,field,reading,gaming,dining,music,movies,tv,clubbing,hiking,exercise,sports,tvsports,reading_normalized,gaming_normalized,dining_normalized,music_normalized,movies_normalized,tv_normalized,clubbing_normalized,hiking_normalized,exercise_normalized,sports_normalized,importance_same_religion_normalized,age-range,FoodChoice,Smoking,Drinking,locations
24.0,female,european/caucasian-american,5.0,law,10.0,5.0,10.0,8.0,8.0,1.0,8.0,3.0,7.0,3.0,2.0,1.0,1.0,1.0,1.0,1.0,0.2,1.0,0.6,0.875,0.6,1.0,"(21, 25)",Non-Vegetarian,Sometimes,Occasionally,CPR Annex
24.0,female,european/caucasian-american,5.0,law,10.0,5.0,10.0,8.0,8.0,1.0,8.0,3.0,7.0,3.0,2.0,1.0,1.0,1.0,1.0,1.0,0.2,1.0,0.6,0.875,0.6,1.0,"(21, 25)",Non-Vegetarian,No,Occasionally,CPR Annex
24.0,female,european/caucasian-american,5.0,law,10.0,5.0,10.0,8.0,8.0,1.0,8.0,3.0,7.0,3.0,2.0,1.0,1.0,1.0,1.0,1.0,0.2,1.0,0.6,0.875,0.6,1.0,"(21, 25)",Non-Vegetarian,Yes,Yes,Wascana Crescents
24.0,female,european/caucasian-american,5.0,law,10.0,5.0,10.0,8.0,8.0,1.0,8.0,3.0,7.0,3.0,2.0,1.0,1.0,1.0,1.0,1.0,0.2,1.0,0.6,0.875,0.6,1.0,"(21, 25)",Non-Vegetarian,Yes,Yes,CPR Annex
24.0,female,european/caucasian-american,5.0,law,10.0,5.0,10.0,8.0,8.0,1.0,8.0,3.0,7.0,3.0,2.0,1.0,1.0,1.0,1.0,1.0,0.2,1.0,0.6,0.875,0.6,1.0,"(21, 25)",Vegetarian,No,No,Creekside
24.0,female,european/caucasian-american,5.0,law,10.0,5.0,10.0,8.0,8.0,1.0,8.0,3.0,7.0,3.0,2.0,1.0,1.0,1.0,1.0,1.0,0.2,1.0,0.6,0.875,0.6,1.0,"(21, 25)",Vegetarian,No,Yes,Belvedere
25.0,female,european/caucasian-american,4.0,economics,7.0,4.0,8.0,5.0,7.0,8.0,5.0,8.0,7.0,3.0,8.0,0.875,0.8,1.0,1.0,0.875,1.0,1.0,1.0,0.875,0.6,0.8,"(21, 25)",Vegetarian,Yes,Occasionally,Highland Park
25.0,female,european/caucasian-american,4.0,economics,7.0,4.0,8.0,5.0,7.0,8.0,5.0,8.0,7.0,3.0,8.0,0.875,0.8,1.0,1.0,0.875,1.0,1.0,1.0,0.875,0.6,0.8,"(21, 25)",Vegetarian,Yes,Yes,Creekside
25.0,female,european/caucasian-american,4.0,economics,7.0,4.0,8.0,5.0,7.0,8.0,5.0,8.0,7.0,3.0,8.0,0.875,0.8,1.0,1.0,0.875,1.0,1.0,1.0,0.875,0.6,0.8,"(21, 25)",Vegetarian,Sometimes,Occasionally,Arcola Sub
25.0,female,european/caucasian-american,4.0,economics,7.0,4.0,8.0,5.0,7.0,8.0,5.0,8.0,7.0,3.0,8.0,0.875,0.8,1.0,1.0,0.875,1.0,1.0,1.0,0.875,0.6,0.8,"(21, 25)",Vegetarian,Yes,Occasionally,Sherwood Estates
25.0,female,european/caucasian-american,4.0,economics,7.0,4.0,8.0,5.0,7.0,8.0,5.0,8.0,7.0,3.0,8.0,0.875,0.8,1.0,1.0,0.875,1.0,1.0,1.0,0.875,0.6,0.8,"(21, 25)",Vegetarian,Yes,Occasionally,Riverside
25.0,female,european/caucasian-american,4.0,economics,7.0,4.0,8.0,5.0,7.0,8.0,5.0,8.0,7.0,3.0,8.0,0.875,0.8,1.0,1.0,0.875,1.0,1.0,1.0,0.875,0.6,0.8,"(21, 25)",Vegetarian,Sometimes,Yes,Riverside
25.0,female,european/caucasian-american,4.0,economics,7.0,4.0,8.0,5.0,7.0,8.0,5.0,8.0,7.0,3.0,8.0,0.875,0.8,1.0,1.0,0.875,1.0,1.0,1.0,0.875,0.6,0.8,"(21, 25)",Vegetarian,Sometimes,Yes,City View
25.0,female,european/caucasian-american,4.0,economics,7.0,4.0,8.0,5.0,7.0,8.0,5.0,8.0,7.0,3.0,8.0,0.875,0.8,1.0,1.0,0.875,1.0,1.0,1.0,0.875,0.6,0.8,"(21, 25)",Non-Vegetarian,Yes,No,Dewdney Place
25.0,female,european/caucasian-american,4.0,economics,7.0,4.0,8.0,5.0,7.0,8.0,5.0,8.0,7.0,3.0,8.0,0.875,0.8,1.0,1.0,0.875,1.0,1.0,1.0,0.875,0.6,0.8,"(21, 25)",Non-Vegetarian,Sometimes,Yes,Westhill
25.0,female,european/caucasian-american,4.0,economics,7.0,4.0,8.0,5.0,7.0,8.0,5.0,8.0,7.0,3.0,8.0,0.875,0.8,1.0,1.0,0.875,1.0,1.0,1.0,0.875,0.6,0.8,"(21, 25)",Non-Vegetarian,No,No,Dewdney Place
23.0,female,european/caucasian-american,1.0,law,7.0,5.0,7.0,7.0,7.0,7.0,7.0,7.0,6.0,1.0,1.0,0.875,1.0,0.875,0.875,0.875,0.875,0.875,0.875,0.75,0.2,1.0,"(21, 25)",Non-Vegetarian,No,Occasionally,Highland Park
23.0,female,european/caucasian-american,1.0,law,7.0,5.0,7.0,7.0,7.0,7.0,7.0,7.0,6.0,1.0,1.0,0.875,1.0,0.875,0.875,0.875,0.875,0.875,0.875,0.75,0.2,1.0,"(21, 25)",Vegetarian,No,Yes,Albert Park
23.0,female,european/caucasian-american,1.0,law,7.0,5.0,7.0,7.0,7.0,7.0,7.0,7.0,6.0,1.0,1.0,0.875,1.0,0.875,0.875,0.875,0.875,0.875,0.875,0.75,0.2,1.0,"(21, 25)",Vegetarian,No,No,Sherwood Estates
23.0,female,european/caucasian-american,1.0,law,7.0,5.0,7.0,7.0,7.0,7.0,7.0,7.0,6.0,1.0,1.0,0.875,1.0,0.875,0.875,0.875,0.875,0.875,0.875,0.75,0.2,1.0,"(21, 25)",Non-Vegetarian,Yes,No,Belvedere
23.0,female,european/caucasian-american,1.0,law,7.0,5.0,7.0,7.0,7.0,7.0,7.0,7.0,6.0,1.0,1.0,0.875,1.0,0.875,0.875,0.875,0.875,0.875,0.875,0.75,0.2,1.0,"(21, 25)",Vegetarian,Yes,Yes,Garden Ridge
23.0,female,european/caucasian-american,1.0,law,7.0,5.0,7.0,7.0,7.0,7.0,7.0,7.0,6.0,1.0,1.0,0.875,1.0,0.875,0.875,0.875,0.875,0.875,0.875,0.75,0.2,1.0,"(21, 25)",Non-Vegetarian,No,Yes,Wascana Crescents
23.0,female,european/caucasian-american,1.0,law,7.0,5.0,7.0,7.0,7.0,7.0,7.0,7.0,6.0,1.0,1.0,0.875,1.0,0.875,0.875,0.875,0.875,0.875,0.875,0.75,0.2,1.0,"(21, 25)",Non-Vegetarian,No,Occasionally,Harbour Landing
23.0,female,european/caucasian-american,1.0,law,7.0,5.0,7.0,7.0,7.0,7.0,7.0,7.0,6.0,1.0,1.0,0.875,1.0,0.875,0.875,0.875,0.875,0.875,0.875,0.75,0.2,1.0,"(21, 25)",Non-Vegetarian,No,Yes,Uplands
23.0,female,european/caucasian-american,1.0,law,7.0,5.0,7.0,7.0,7.0,7.0,7.0,7.0,6.0,1.0,1.0,0.875,1.0,0.875,0.875,0.875,0.875,0.875,0.875,0.75,0.2,1.0,"(21, 25)",Non-Vegetarian,Sometimes,No,Garden Ridge
21.0,female,european/caucasian-american,1.0,law,6.0,6.0,7.0,7.0,6.0,8.0,8.0,6.0,7.0,7.0,4.0,0.75,0.75,0.875,0.875,0.75,1.0,1.0,0.75,0.875,0.875,1.0,"(21, 25)",Non-Vegetarian,No,Yes,Arcola Sub
21.0,female,european/caucasian-american,1.0,law,6.0,6.0,7.0,7.0,6.0,8.0,8.0,6.0,7.0,7.0,4.0,0.75,0.75,0.875,0.875,0.75,1.0,1.0,0.75,0.875,0.875,1.0,"(21, 25)",Non-Vegetarian,No,No,CPR Annex
21.0,female,european/caucasian-american,1.0,law,6.0,6.0,7.0,7.0,6.0,8.0,8.0,6.0,7.0,7.0,4.0,0.75,0.75,0.875,0.875,0.75,1.0,1.0,0.75,0.875,0.875,1.0,"(21, 25)",Non-Vegetarian,Yes,Occasionally,Albert Park
21.0,female,european/caucasian-american,1.0,law,6.0,6.0,7.0,7.0,6.0,8.0,8.0,6.0,7.0,7.0,4.0,0.75,0.75,0.875,0.875,0.75,1.0,1.0,0.75,0.875,0.875,1.0,"(21, 25)",Non-Vegetarian,Yes,No,Garden Ridge
21.0,female,european/caucasian-american,1.0,law,6.0,6.0,7.0,7.0,6.0,8.0,8.0,6.0,7.0,7.0,4.0,0.75,0.75,0.875,0.875,0.75,1.0,1.0,0.75,0.875,0.875,1.0,"(21, 25)",Non-Vegetarian,No,Occasionally,Harbour Landing
21.0,female,european/caucasian-american,1.0,law,6.0,6.0,7.0,7.0,6.0,8.0,8.0,6.0,7.0,7.0,4.0,0.75,0.75,0.875,0.875,0.75,1.0,1.0,0.75,0.875,0.875,1.0,"(21, 25)",Non-Vegetarian,Sometimes,Yes,Westhill
21.0,female,european/caucasian-american,1.0,law,6.0,6.0,7.0,7.0,6.0,8.0,8.0,6.0,7.0,7.0,4.0,0.75,0.75,0.875,0.875,0.75,1.0,1.0,0.75,0.875,0.875,1.0,"(21, 25)",Non-Vegetarian,Yes,Yes,Creekside
21.0,female,european/caucasian-american,1.0,law,6.0,6.0,7.0,7.0,6.0,8.0,8.0,6.0,7.0,7.0,4.0,0.75,0.75,0.875,0.875,0.75,1.0,1.0,0.75,0.875,0.875,1.0,"(21, 25)",Vegetarian,Yes,Yes,Creekside
21.0,female,european/caucasian-american,1.0,law,6.0,6.0,7.0,7.0,6.0,8.0,8.0,6.0,7.0,7.0,4.0,0.75,0.75,0.875,0.875,0.75,1.0,1.0,0.75,0.875,0.875,1.0,"(21, 25)",Vegetarian,Yes,Occasionally,Wascana Crescents
21.0,female,european/caucasian-american,1.0,law,6.0,6.0,7.0,7.0,6.0,8.0,8.0,6.0,7.0,7.0,4.0,0.75,0.75,0.875,0.875,0.75,1.0,1.0,0.75,0.875,0.875,1.0,"(21, 25)",Vegetarian,No,Yes,Westhill
23.0,female,asian/pacific islander/asian-american,1.0,law,9.0,2.0,7.0,4.0,6.0,2.0,6.0,9.0,9.0,10.0,8.0,0.9,0.4,0.875,0.8,0.75,0.4,0.75,0.9,0.9,1.0,1.0,"(21, 25)",Vegetarian,Sometimes,No,Riverside
23.0,female,asian/pacific islander/asian-american,1.0,law,9.0,2.0,7.0,4.0,6.0,2.0,6.0,9.0,9.0,10.0,8.0,0.9,0.4,0.875,0.8,0.75,0.4,0.75,0.9,0.9,1.0,1.0,"(21, 25)",Vegetarian,Yes,Occasionally,Albert Park
23.0,female,asian/pacific islander/asian-american,1.0,law,9.0,2.0,7.0,4.0,6.0,2.0,6.0,9.0,9.0,10.0,8.0,0.9,0.4,0.875,0.8,0.75,0.4,0.75,0.9,0.9,1.0,1.0,"(21, 25)",Vegetarian,No,Yes,Creekside
23.0,female,asian/pacific islander/asian-american,1.0,law,9.0,2.0,7.0,4.0,6.0,2.0,6.0,9.0,9.0,10.0,8.0,0.9,0.4,0.875,0.8,0.75,0.4,0.75,0.9,0.9,1.0,1.0,"(21, 25)",Vegetarian,Yes,Yes,Sherwood Estates
23.0,female,asian/pacific islander/asian-american,1.0,law,9.0,2.0,7.0,4.0,6.0,2.0,6.0,9.0,9.0,10.0,8.0,0.9,0.4,0.875,0.8,0.75,0.4,0.75,0.9,0.9,1.0,1.0,"(21, 25)",Vegetarian,Yes,No,Garden Ridge
23.0,female,asian/pacific islander/asian-american,1.0,law,9.0,2.0,7.0,4.0,6.0,2.0,6.0,9.0,9.0,10.0,8.0,0.9,0.4,0.875,0.8,0.75,0.4,0.75,0.9,0.9,1.0,1.0,"(21, 25)",Vegetarian,No,Yes,Highland Park
23.0,female,asian/pacific islander/asian-american,1.0,law,9.0,2.0,7.0,4.0,6.0,2.0,6.0,9.0,9.0,10.0,8.0,0.9,0.4,0.875,0.8,0.75,0.4,0.75,0.9,0.9,1.0,1.0,"(21, 25)",Non-Vegetarian,Sometimes,Yes,Riverside
23.0,female,asian/pacific islander/asian-american,1.0,law,9.0,2.0,7.0,4.0,6.0,2.0,6.0,9.0,9.0,10.0,8.0,0.9,0.4,0.875,0.8,0.75,0.4,0.75,0.9,0.9,1.0,1.0,"(21, 25)",Vegetarian,Sometimes,No,Dewdney Place
23.0,female,asian/pacific islander/asian-american,1.0,law,9.0,2.0,7.0,4.0,6.0,2.0,6.0,9.0,9.0,10.0,8.0,0.9,0.4,0.875,0.8,0.75,0.4,0.75,0.9,0.9,1.0,1.0,"(21, 25)",Vegetarian,No,No,Creekside
22.0,female,asian/pacific islander/asian-american,4.0,law,8.0,3.0,10.0,10.0,10.0,8.0,8.0,2.0,4.0,5.0,3.0,1.0,0.6,1.0,1.0,1.0,1.0,1.0,0.4,0.8,1.0,0.8,"(21, 25)",Vegetarian,Sometimes,No,CPR Annex
22.0,female,asian/pacific islander/asian-american,4.0,law,8.0,3.0,10.0,10.0,10.0,8.0,8.0,2.0,4.0,5.0,3.0,1.0,0.6,1.0,1.0,1.0,1.0,1.0,0.4,0.8,1.0,0.8,"(21, 25)",Vegetarian,No,Yes,Wascana Crescents
22.0,female,asian/pacific islander/asian-american,4.0,law,8.0,3.0,10.0,10.0,10.0,8.0,8.0,2.0,4.0,5.0,3.0,1.0,0.6,1.0,1.0,1.0,1.0,1.0,0.4,0.8,1.0,0.8,"(21, 25)",Vegetarian,No,No,Regent Park
22.0,female,asian/pacific islander/asian-american,4.0,law,8.0,3.0,10.0,10.0,10.0,8.0,8.0,2.0,4.0,5.0,3.0,1.0,0.6,1.0,1.0,1.0,1.0,1.0,0.4,0.8,1.0,0.8,"(21, 25)",Vegetarian,Yes,No,Balbrigan Place
22.0,female,asian/pacific islander/asian-american,4.0,law,8.0,3.0,10.0,10.0,10.0,8.0,8.0,2.0,4.0,5.0,3.0,1.0,0.6,1.0,1.0,1.0,1.0,1.0,0.4,0.8,1.0,0.8,"(21, 25)",Vegetarian,Yes,Occasionally,Grand Trunk Annex
22.0,female,asian/pacific islander/asian-american,4.0,law,8.0,3.0,10.0,10.0,10.0,8.0,8.0,2.0,4.0,5.0,3.0,1.0,0.6,1.0,1.0,1.0,1.0,1.0,0.4,0.8,1.0,0.8,"(21, 25)",Vegetarian,Sometimes,No,Parkridge
22.0,female,asian/pacific islander/asian-american,4.0,law,8.0,3.0,10.0,10.0,10.0,8.0,8.0,2.0,4.0,5.0,3.0,1.0,0.6,1.0,1.0,1.0,1.0,1.0,0.4,0.8,1.0,0.8,"(21, 25)",Non-Vegetarian,No,Yes,City View
22.0,female,asian/pacific islander/asian-american,4.0,law,8.0,3.0,10.0,10.0,10.0,8.0,8.0,2.0,4.0,5.0,3.0,1.0,0.6,1.0,1.0,1.0,1.0,1.0,0.4,0.8,1.0,0.8,"(21, 25)",Vegetarian,Sometimes,Occasionally,Albert Park
22.0,female,asian/pacific islander/asian-american,4.0,law,8.0,3.0,10.0,10.0,10.0,8.0,8.0,2.0,4.0,5.0,3.0,1.0,0.6,1.0,1.0,1.0,1.0,1.0,0.4,0.8,1.0,0.8,"(21, 25)",Non-Vegetarian,No,Yes,Arcola Sub
22.0,female,asian/pacific islander/asian-american,4.0,law,8.0,3.0,10.0,10.0,10.0,8.0,8.0,2.0,4.0,5.0,3.0,1.0,0.6,1.0,1.0,1.0,1.0,1.0,0.4,0.8,1.0,0.8,"(21, 25)",Non-Vegetarian,Yes,Occasionally,Parkridge
25.0,female,european/caucasian-american,1.0,masters in public administration,8.0,2.0,10.0,6.0,9.0,10.0,10.0,3.0,1.0,2.0,2.0,1.0,0.4,1.0,0.75,0.9,1.0,1.0,0.6,0.2,0.4,1.0,"(21, 25)",Vegetarian,No,Occasionally,Creekside
25.0,female,european/caucasian-american,1.0,masters in public administration,8.0,2.0,10.0,6.0,9.0,10.0,10.0,3.0,1.0,2.0,2.0,1.0,0.4,1.0,0.75,0.9,1.0,1.0,0.6,0.2,0.4,1.0,"(21, 25)",Vegetarian,Sometimes,Occasionally,Parkridge
25.0,female,european/caucasian-american,1.0,masters in public administration,8.0,2.0,10.0,6.0,9.0,10.0,10.0,3.0,1.0,2.0,2.0,1.0,0.4,1.0,0.75,0.9,1.0,1.0,0.6,0.2,0.4,1.0,"(21, 25)",Non-Vegetarian,No,Occasionally,Belvedere
25.0,female,european/caucasian-american,1.0,masters in public administration,8.0,2.0,10.0,6.0,9.0,10.0,10.0,3.0,1.0,2.0,2.0,1.0,0.4,1.0,0.75,0.9,1.0,1.0,0.6,0.2,0.4,1.0,"(21, 25)",Non-Vegetarian,No,Occasionally,Parkridge
25.0,female,european/caucasian-american,1.0,masters in public administration,8.0,2.0,10.0,6.0,9.0,10.0,10.0,3.0,1.0,2.0,2.0,1.0,0.4,1.0,0.75,0.9,1.0,1.0,0.6,0.2,0.4,1.0,"(21, 25)",Non-Vegetarian,Yes,No,Westhill
25.0,female,european/caucasian-american,1.0,masters in public administration,8.0,2.0,10.0,6.0,9.0,10.0,10.0,3.0,1.0,2.0,2.0,1.0,0.4,1.0,0.75,0.9,1.0,1.0,0.6,0.2,0.4,1.0,"(21, 25)",Vegetarian,No,Occasionally,CPR Annex
25.0,female,european/caucasian-american,1.0,masters in public administration,8.0,2.0,10.0,6.0,9.0,10.0,10.0,3.0,1.0,2.0,2.0,1.0,0.4,1.0,0.75,0.9,1.0,1.0,0.6,0.2,0.4,1.0,"(21, 25)",Vegetarian,No,No,Grand Trunk Annex
25.0,female,european/caucasian-american,1.0,masters in public administration,8.0,2.0,10.0,6.0,9.0,10.0,10.0,3.0,1.0,2.0,2.0,1.0,0.4,1.0,0.75,0.9,1.0,1.0,0.6,0.2,0.4,1.0,"(21, 25)",Vegetarian,No,Occasionally,Harbour Landing
25.0,female,european/caucasian-american,1.0,masters in public administration,8.0,2.0,10.0,6.0,9.0,10.0,10.0,3.0,1.0,2.0,2.0,1.0,0.4,1.0,0.75,0.9,1.0,1.0,0.6,0.2,0.4,1.0,"(21, 25)",Vegetarian,No,Yes,Harbour Landing
25.0,female,european/caucasian-american,1.0,masters in public administration,8.0,2.0,10.0,6.0,9.0,10.0,10.0,3.0,1.0,2.0,2.0,1.0,0.4,1.0,0.75,0.9,1.0,1.0,0.6,0.2,0.4,1.0,"(21, 25)",Non-Vegetarian,No,No,Lakewood
26.0,female,other,1.0,masters in public administration,8.0,2.0,8.0,9.0,10.0,8.0,10.0,2.0,1.0,4.0,3.0,1.0,0.4,1.0,0.9,1.0,1.0,1.0,0.4,0.2,0.8,1.0,"(26, 30)",Non-Vegetarian,Sometimes,No,Lakewood
26.0,female,other,1.0,masters in public administration,8.0,2.0,8.0,9.0,10.0,8.0,10.0,2.0,1.0,4.0,3.0,1.0,0.4,1.0,0.9,1.0,1.0,1.0,0.4,0.2,0.8,1.0,"(26, 30)",Non-Vegetarian,Yes,No,Grand Trunk Annex
26.0,female,other,1.0,masters in public administration,8.0,2.0,8.0,9.0,10.0,8.0,10.0,2.0,1.0,4.0,3.0,1.0,0.4,1.0,0.9,1.0,1.0,1.0,0.4,0.2,0.8,1.0,"(26, 30)",Vegetarian,No,Occasionally,Dewdney Place
26.0,female,other,1.0,masters in public administration,8.0,2.0,8.0,9.0,10.0,8.0,10.0,2.0,1.0,4.0,3.0,1.0,0.4,1.0,0.9,1.0,1.0,1.0,0.4,0.2,0.8,1.0,"(26, 30)",Non-Vegetarian,Sometimes,Occasionally,Regent Park
26.0,female,other,1.0,masters in public administration,8.0,2.0,8.0,9.0,10.0,8.0,10.0,2.0,1.0,4.0,3.0,1.0,0.4,1.0,0.9,1.0,1.0,1.0,0.4,0.2,0.8,1.0,"(26, 30)",Vegetarian,Sometimes,Yes,Lakewood
26.0,female,other,1.0,masters in public administration,8.0,2.0,8.0,9.0,10.0,8.0,10.0,2.0,1.0,4.0,3.0,1.0,0.4,1.0,0.9,1.0,1.0,1.0,0.4,0.2,0.8,1.0,"(26, 30)",Non-Vegetarian,Yes,Occasionally,Arcola Sub
26.0,female,other,1.0,masters in public administration,8.0,2.0,8.0,9.0,10.0,8.0,10.0,2.0,1.0,4.0,3.0,1.0,0.4,1.0,0.9,1.0,1.0,1.0,0.4,0.2,0.8,1.0,"(26, 30)",Vegetarian,No,Occasionally,Harbour Landing
26.0,female,other,1.0,masters in public administration,8.0,2.0,8.0,9.0,10.0,8.0,10.0,2.0,1.0,4.0,3.0,1.0,0.4,1.0,0.9,1.0,1.0,1.0,0.4,0.2,0.8,1.0,"(26, 30)",Non-Vegetarian,Sometimes,Occasionally,Arcola Sub
26.0,female,other,1.0,masters in public administration,8.0,2.0,8.0,9.0,10.0,8.0,10.0,2.0,1.0,4.0,3.0,1.0,0.4,1.0,0.9,1.0,1.0,1.0,0.4,0.2,0.8,1.0,"(26, 30)",Non-Vegetarian,Sometimes,Yes,Albert Park
26.0,female,other,1.0,masters in public administration,8.0,2.0,8.0,9.0,10.0,8.0,10.0,2.0,1.0,4.0,3.0,1.0,0.4,1.0,0.9,1.0,1.0,1.0,0.4,0.2,0.8,1.0,"(26, 30)",Vegetarian,No,Yes,Uplands
26.0,female,european/caucasian-american,4.0,masters of social work&education,8.0,1.0,7.0,8.0,7.0,5.0,7.0,7.0,9.0,9.0,9.0,1.0,0.2,0.875,1.0,0.875,1.0,0.875,0.875,0.9,0.9,0.8,"(26, 30)",Vegetarian,Sometimes,Occasionally,Dewdney Place
26.0,female,european/caucasian-american,4.0,masters of social work&education,8.0,1.0,7.0,8.0,7.0,5.0,7.0,7.0,9.0,9.0,9.0,1.0,0.2,0.875,1.0,0.875,1.0,0.875,0.875,0.9,0.9,0.8,"(26, 30)",Vegetarian,Sometimes,Occasionally,Parkridge
26.0,female,european/caucasian-american,4.0,masters of social work&education,8.0,1.0,7.0,8.0,7.0,5.0,7.0,7.0,9.0,9.0,9.0,1.0,0.2,0.875,1.0,0.875,1.0,0.875,0.875,0.9,0.9,0.8,"(26, 30)",Non-Vegetarian,Yes,Occasionally,Harbour Landing
26.0,female,european/caucasian-american,4.0,masters of social work&education,8.0,1.0,7.0,8.0,7.0,5.0,7.0,7.0,9.0,9.0,9.0,1.0,0.2,0.875,1.0,0.875,1.0,0.875,0.875,0.9,0.9,0.8,"(26, 30)",Non-Vegetarian,No,Occasionally,Balbrigan Place
26.0,female,european/caucasian-american,4.0,masters of social work&education,8.0,1.0,7.0,8.0,7.0,5.0,7.0,7.0,9.0,9.0,9.0,1.0,0.2,0.875,1.0,0.875,1.0,0.875,0.875,0.9,0.9,0.8,"(26, 30)",Vegetarian,No,Occasionally,Highland Park
26.0,female,european/caucasian-american,4.0,masters of social work&education,8.0,1.0,7.0,8.0,7.0,5.0,7.0,7.0,9.0,9.0,9.0,1.0,0.2,0.875,1.0,0.875,1.0,0.875,0.875,0.9,0.9,0.8,"(26, 30)",Non-Vegetarian,Yes,Yes,Belvedere
26.0,female,european/caucasian-american,4.0,masters of social work&education,8.0,1.0,7.0,8.0,7.0,5.0,7.0,7.0,9.0,9.0,9.0,1.0,0.2,0.875,1.0,0.875,1.0,0.875,0.875,0.9,0.9,0.8,"(26, 30)",Non-Vegetarian,Yes,No,City View
