age-range,gender,race,FoodChoice,field,reading_normalized,gaming_normalized,dining_normalized,music_normalized,movies_normalized,tv_normalized,clubbing_normalized,hiking_normalized,exercise_normalized,sports_normalized,importance_same_religion_normalized,Smoking,Drinking,locations
"(21, 25)",female,european/caucasian-american,Vegetarian,economics,0.875,0.8,1.0,1.0,0.875,1.0,1.0,1.0,0.875,0.6,0.8,No,Occasionally,Rothwell Place
"(21, 25)",female,european/caucasian-american,Non-Vegetarian,economics,0.875,0.8,1.0,1.0,0.875,1.0,1.0,1.0,0.875,0.6,0.8,Yes,Yes,Regent Park
"(21, 25)",female,european/caucasian-american,Non-Vegetarian,economics,0.875,0.8,1.0,1.0,0.875,1.0,1.0,1.0,0.875,0.6,0.8,No,Yes,Sherwood Estates
"(21, 25)",female,european/caucasian-american,Vegetarian,economics,0.875,0.8,1.0,1.0,0.875,1.0,1.0,1.0,0.875,0.6,0.8,Sometimes,Occasionally,Glen Elm Park South
"(21, 25)",female,european/caucasian-american,Vegetarian,law,0.875,1.0,0.875,0.875,0.875,0.875,0.875,0.875,0.75,0.2,1.0,Yes,Occasionally,Coventry Place
"(21, 25)",female,european/caucasian-american,Vegetarian,law,0.875,1.0,0.875,0.875,0.875,0.875,0.875,0.875,0.75,0.2,1.0,Sometimes,No,Gardiner Heights
"(21, 25)",female,european/caucasian-american,Non-Vegetarian,law,0.875,1.0,0.875,0.875,0.875,0.875,0.875,0.875,0.75,0.2,1.0,Sometimes,Occasionally,Parkridge
"(21, 25)",female,european/caucasian-american,Vegetarian,law,0.875,1.0,0.875,0.875,0.875,0.875,0.875,0.875,0.75,0.2,1.0,Yes,No,Regent Park
"(21, 25)",female,european/caucasian-american,Non-Vegetarian,law,0.875,1.0,0.875,0.875,0.875,0.875,0.875,0.875,0.75,0.2,1.0,Sometimes,Yes,Parliament Place
"(21, 25)",female,european/caucasian-american,Vegetarian,law,0.875,1.0,0.875,0.875,0.875,0.875,0.875,0.875,0.75,0.2,1.0,Yes,No,Argyle Park
"(21, 25)",female,european/caucasian-american,Non-Vegetarian,law,0.875,1.0,0.875,0.875,0.875,0.875,0.875,0.875,0.75,0.2,1.0,Yes,Yes,Lakeview Centre
"(21, 25)",female,european/caucasian-american,Vegetarian,law,0.875,1.0,0.875,0.875,0.875,0.875,0.875,0.875,0.75,0.2,1.0,Yes,Occasionally,North Annex
"(21, 25)",female,european/caucasian-american,Non-Vegetarian,law,0.875,1.0,0.875,0.875,0.875,0.875,0.875,0.875,0.75,0.2,1.0,Yes,No,Varsity Park
"(21, 25)",female,european/caucasian-american,Vegetarian,law,0.875,1.0,0.875,0.875,0.875,0.875,0.875,0.875,0.75,0.2,1.0,No,Yes,Assiniboia Place
"(21, 25)",female,european/caucasian-american,Vegetarian,law,0.75,0.75,0.875,0.875,0.75,1.0,1.0,0.75,0.875,0.875,1.0,No,Yes,Douglas Place
"(21, 25)",female,european/caucasian-american,Non-Vegetarian,law,0.75,0.75,0.875,0.875,0.75,1.0,1.0,0.75,0.875,0.875,1.0,Sometimes,Occasionally,Windsor Place
"(21, 25)",female,european/caucasian-american,Non-Vegetarian,law,0.75,0.75,0.875,0.875,0.75,1.0,1.0,0.75,0.875,0.875,1.0,Yes,Occasionally,Eastern Annex
"(21, 25)",female,european/caucasian-american,Non-Vegetarian,law,0.75,0.75,0.875,0.875,0.75,1.0,1.0,0.75,0.875,0.875,1.0,Sometimes,Yes,Douglas Place
"(21, 25)",female,european/caucasian-american,Non-Vegetarian,law,0.75,0.75,0.875,0.875,0.75,1.0,1.0,0.75,0.875,0.875,1.0,Yes,No,Dewdney Place
"(21, 25)",female,european/caucasian-american,Non-Vegetarian,law,0.75,0.75,0.875,0.875,0.75,1.0,1.0,0.75,0.875,0.875,1.0,Yes,Occasionally,Wascana Park
"(21, 25)",female,european/caucasian-american,Vegetarian,law,0.75,0.75,0.875,0.875,0.75,1.0,1.0,0.75,0.875,0.875,1.0,Sometimes,No,Lakewood
"(21, 25)",female,european/caucasian-american,Vegetarian,law,0.75,0.75,0.875,0.875,0.75,1.0,1.0,0.75,0.875,0.875,1.0,Sometimes,Yes,Walsh Acres
"(21, 25)",female,european/caucasian-american,Non-Vegetarian,law,0.75,0.75,0.875,0.875,0.75,1.0,1.0,0.75,0.875,0.875,1.0,No,Yes,Rothwell Place
"(21, 25)",female,european/caucasian-american,Vegetarian,law,0.75,0.75,0.875,0.875,0.75,1.0,1.0,0.75,0.875,0.875,1.0,No,Occasionally,Mirror Sun Gardens
"(21, 25)",female,asian/pacific islander/asian-american,Non-Vegetarian,law,0.9,0.4,0.875,0.8,0.75,0.4,0.75,0.9,0.9,1.0,1.0,Yes,Occasionally,Spruce Meadows
"(21, 25)",female,asian/pacific islander/asian-american,Non-Vegetarian,law,0.9,0.4,0.875,0.8,0.75,0.4,0.75,0.9,0.9,1.0,1.0,Sometimes,No,Washington Park
"(21, 25)",female,asian/pacific islander/asian-american,Non-Vegetarian,law,0.9,0.4,0.875,0.8,0.75,0.4,0.75,0.9,0.9,1.0,1.0,No,No,Washington Park
"(21, 25)",female,asian/pacific islander/asian-american,Non-Vegetarian,law,0.9,0.4,0.875,0.8,0.75,0.4,0.75,0.9,0.9,1.0,1.0,No,Yes,McCarthy Park
"(21, 25)",female,asian/pacific islander/asian-american,Vegetarian,law,0.9,0.4,0.875,0.8,0.75,0.4,0.75,0.9,0.9,1.0,1.0,No,No,Normanview West Addition
"(21, 25)",female,asian/pacific islander/asian-american,Vegetarian,law,0.9,0.4,0.875,0.8,0.75,0.4,0.75,0.9,0.9,1.0,1.0,Yes,Occasionally,Kensington Greens
"(21, 25)",female,asian/pacific islander/asian-american,Non-Vegetarian,law,0.9,0.4,0.875,0.8,0.75,0.4,0.75,0.9,0.9,1.0,1.0,Yes,Yes,Assiniboia Place
"(21, 25)",female,asian/pacific islander/asian-american,Vegetarian,law,0.9,0.4,0.875,0.8,0.75,0.4,0.75,0.9,0.9,1.0,1.0,Sometimes,No,Dominion Heights
"(21, 25)",female,asian/pacific islander/asian-american,Vegetarian,law,0.9,0.4,0.875,0.8,0.75,0.4,0.75,0.9,0.9,1.0,1.0,Yes,Occasionally,Sherwood Estates
"(21, 25)",female,asian/pacific islander/asian-american,Non-Vegetarian,law,0.9,0.4,0.875,0.8,0.75,0.4,0.75,0.9,0.9,1.0,1.0,No,No,Regent Park
"(21, 25)",female,asian/pacific islander/asian-american,Non-Vegetarian,law,1.0,0.6,1.0,1.0,1.0,1.0,1.0,0.4,0.8,1.0,0.8,Sometimes,Yes,Dominion Heights
"(21, 25)",female,asian/pacific islander/asian-american,Non-Vegetarian,law,1.0,0.6,1.0,1.0,1.0,1.0,1.0,0.4,0.8,1.0,0.8,No,Occasionally,Maple Ridge
"(21, 25)",female,asian/pacific islander/asian-american,Non-Vegetarian,law,1.0,0.6,1.0,1.0,1.0,1.0,1.0,0.4,0.8,1.0,0.8,Sometimes,No,CPR Annex
"(21, 25)",female,asian/pacific islander/asian-american,Non-Vegetarian,law,1.0,0.6,1.0,1.0,1.0,1.0,1.0,0.4,0.8,1.0,0.8,Yes,No,Mayfair
"(21, 25)",female,asian/pacific islander/asian-american,Vegetarian,law,1.0,0.6,1.0,1.0,1.0,1.0,1.0,0.4,0.8,1.0,0.8,No,Yes,Broders Annex
"(21, 25)",female,asian/pacific islander/asian-american,Vegetarian,law,1.0,0.6,1.0,1.0,1.0,1.0,1.0,0.4,0.8,1.0,0.8,Sometimes,No,Industrial Centre
"(21, 25)",female,asian/pacific islander/asian-american,Non-Vegetarian,law,1.0,0.6,1.0,1.0,1.0,1.0,1.0,0.4,0.8,1.0,0.8,Yes,No,Dewdney Place
"(21, 25)",female,asian/pacific islander/asian-american,Non-Vegetarian,law,1.0,0.6,1.0,1.0,1.0,1.0,1.0,0.4,0.8,1.0,0.8,No,No,Albert Park
"(21, 25)",female,asian/pacific islander/asian-american,Vegetarian,law,1.0,0.6,1.0,1.0,1.0,1.0,1.0,0.4,0.8,1.0,0.8,No,Yes,Varsity Park
"(21, 25)",female,asian/pacific islander/asian-american,Non-Vegetarian,law,1.0,0.6,1.0,1.0,1.0,1.0,1.0,0.4,0.8,1.0,0.8,No,Occasionally,Uplands
"(21, 25)",female,european/caucasian-american,Non-Vegetarian,masters in public administration,1.0,0.4,1.0,0.75,0.9,1.0,1.0,0.6,0.2,0.4,1.0,No,No,Wascana Park
"(21, 25)",female,european/caucasian-american,Non-Vegetarian,masters in public administration,1.0,0.4,1.0,0.75,0.9,1.0,1.0,0.6,0.2,0.4,1.0,Yes,No,River Bend
"(21, 25)",female,european/caucasian-american,Non-Vegetarian,masters in public administration,1.0,0.4,1.0,0.75,0.9,1.0,1.0,0.6,0.2,0.4,1.0,No,No,Fairways West
"(21, 25)",female,european/caucasian-american,Non-Vegetarian,masters in public administration,1.0,0.4,1.0,0.75,0.9,1.0,1.0,0.6,0.2,0.4,1.0,Sometimes,Yes,Glen Elm Park
"(21, 25)",female,european/caucasian-american,Non-Vegetarian,masters in public administration,1.0,0.4,1.0,0.75,0.9,1.0,1.0,0.6,0.2,0.4,1.0,Sometimes,Occasionally,Rosemont North
"(21, 25)",female,european/caucasian-american,Non-Vegetarian,masters in public administration,1.0,0.4,1.0,0.75,0.9,1.0,1.0,0.6,0.2,0.4,1.0,No,Occasionally,Assiniboia Place
"(21, 25)",female,european/caucasian-american,Non-Vegetarian,masters in public administration,1.0,0.4,1.0,0.75,0.9,1.0,1.0,0.6,0.2,0.4,1.0,Sometimes,Yes,Wascana Park
"(21, 25)",female,european/caucasian-american,Non-Vegetarian,masters in public administration,1.0,0.4,1.0,0.75,0.9,1.0,1.0,0.6,0.2,0.4,1.0,Sometimes,Occasionally,Parkview
"(21, 25)",female,european/caucasian-american,Non-Vegetarian,masters in public administration,1.0,0.4,1.0,0.75,0.9,1.0,1.0,0.6,0.2,0.4,1.0,Sometimes,No,Lakesidge Gardens
"(21, 25)",female,european/caucasian-american,Vegetarian,masters in public administration,1.0,0.4,1.0,0.75,0.9,1.0,1.0,0.6,0.2,0.4,1.0,No,No,Rosemont South
"(26, 30)",female,other,Vegetarian,masters in public administration,1.0,0.4,1.0,0.9,1.0,1.0,1.0,0.4,0.2,0.8,1.0,No,No,Westhill
"(26, 30)",female,other,Non-Vegetarian,masters in public administration,1.0,0.4,1.0,0.9,1.0,1.0,1.0,0.4,0.2,0.8,1.0,Yes,Occasionally,Assiniboia East
"(26, 30)",female,other,Non-Vegetarian,masters in public administration,1.0,0.4,1.0,0.9,1.0,1.0,1.0,0.4,0.2,0.8,1.0,Yes,No,Coronation Park
"(26, 30)",female,other,Vegetarian,masters in public administration,1.0,0.4,1.0,0.9,1.0,1.0,1.0,0.4,0.2,0.8,1.0,Yes,Occasionally,Walsh Acres
"(26, 30)",female,other,Vegetarian,masters in public administration,1.0,0.4,1.0,0.9,1.0,1.0,1.0,0.4,0.2,0.8,1.0,No,Yes,CPR Annex
"(26, 30)",female,other,Vegetarian,masters in public administration,1.0,0.4,1.0,0.9,1.0,1.0,1.0,0.4,0.2,0.8,1.0,Yes,Occasionally,University Park East
"(26, 30)",female,other,Non-Vegetarian,masters in public administration,1.0,0.4,1.0,0.9,1.0,1.0,1.0,0.4,0.2,0.8,1.0,Sometimes,Occasionally,Riverside
"(26, 30)",female,other,Vegetarian,masters in public administration,1.0,0.4,1.0,0.9,1.0,1.0,1.0,0.4,0.2,0.8,1.0,Yes,Yes,Kensington Greens
"(26, 30)",female,other,Non-Vegetarian,masters in public administration,1.0,0.4,1.0,0.9,1.0,1.0,1.0,0.4,0.2,0.8,1.0,No,No,Regent Park
"(26, 30)",female,other,Vegetarian,masters in public administration,1.0,0.4,1.0,0.9,1.0,1.0,1.0,0.4,0.2,0.8,1.0,Yes,No,Balbrigan Place
"(26, 30)",female,european/caucasian-american,Non-Vegetarian,masters of social work&education,1.0,0.2,0.875,1.0,0.875,1.0,0.875,0.875,0.9,0.9,0.8,Sometimes,Yes,Glen Elm Park South
"(26, 30)",female,european/caucasian-american,Vegetarian,masters of social work&education,1.0,0.2,0.875,1.0,0.875,1.0,0.875,0.875,0.9,0.9,0.8,Yes,Occasionally,McCarthy Park
"(26, 30)",female,european/caucasian-american,Non-Vegetarian,masters of social work&education,1.0,0.2,0.875,1.0,0.875,1.0,0.875,0.875,0.9,0.9,0.8,No,Occasionally,Washington Park
"(26, 30)",female,european/caucasian-american,Vegetarian,masters of social work&education,1.0,0.2,0.875,1.0,0.875,1.0,0.875,0.875,0.9,0.9,0.8,Yes,Yes,Innismore
"(26, 30)",female,european/caucasian-american,Vegetarian,masters of social work&education,1.0,0.2,0.875,1.0,0.875,1.0,0.875,0.875,0.9,0.9,0.8,Yes,Yes,McCarthy Park
"(26, 30)",female,european/caucasian-american,Non-Vegetarian,masters of social work&education,1.0,0.2,0.875,1.0,0.875,1.0,0.875,0.875,0.9,0.9,0.8,Sometimes,Yes,Richmond Place
"(26, 30)",female,european/caucasian-american,Vegetarian,masters of social work&education,1.0,0.2,0.875,1.0,0.875,1.0,0.875,0.875,0.9,0.9,0.8,No,Occasionally,Assiniboia East
"(26, 30)",female,european/caucasian-american,Vegetarian,masters of social work&education,1.0,0.2,0.875,1.0,0.875,1.0,0.875,0.875,0.9,0.9,0.8,Yes,Occasionally,Normanview West Addition
"(26, 30)",female,european/caucasian-american,Vegetarian,masters of social work&education,1.0,0.2,0.875,1.0,0.875,1.0,0.875,0.875,0.9,0.9,0.8,Yes,Yes,Lakeridge
"(26, 30)",female,european/caucasian-american,Vegetarian,masters of social work&education,1.0,0.2,0.875,1.0,0.875,1.0,0.875,0.875,0.9,0.9,0.8,Yes,No,Mount Royal
"(26, 30)",male,european/caucasian-american,Vegetarian,finance,0.9,1.0,0.75,1.0,1.0,0.4,0.8,1.0,0.4,1.0,0.6,No,Yes,McCarthy Park
"(26, 30)",male,european/caucasian-american,Vegetarian,finance,0.9,1.0,0.75,1.0,1.0,0.4,0.8,1.0,0.4,1.0,0.6,Sometimes,No,North Regina
"(26, 30)",male,european/caucasian-american,Non-Vegetarian,finance,0.9,1.0,0.75,1.0,1.0,0.4,0.8,1.0,0.4,1.0,0.6,Sometimes,Occasionally,Wood Meadows
"(26, 30)",male,european/caucasian-american,Vegetarian,finance,0.9,1.0,0.75,1.0,1.0,0.4,0.8,1.0,0.4,1.0,0.6,No,Occasionally,Industrial Ross
"(26, 30)",male,european/caucasian-american,Vegetarian,finance,0.9,1.0,0.75,1.0,1.0,0.4,0.8,1.0,0.4,1.0,0.6,No,Yes,Harbour Landing
"(26, 30)",male,european/caucasian-american,Vegetarian,finance,0.9,1.0,0.75,1.0,1.0,0.4,0.8,1.0,0.4,1.0,0.6,Sometimes,Yes,Westhill
"(26, 30)",male,european/caucasian-american,Vegetarian,finance,0.9,1.0,0.75,1.0,1.0,0.4,0.8,1.0,0.4,1.0,0.6,No,Occasionally,Uplands
"(26, 30)",male,european/caucasian-american,Non-Vegetarian,finance,0.9,1.0,0.75,1.0,1.0,0.4,0.8,1.0,0.4,1.0,0.6,Sometimes,Yes,Douglas Place
"(26, 30)",male,european/caucasian-american,Vegetarian,finance,0.9,1.0,0.75,1.0,1.0,0.4,0.8,1.0,0.4,1.0,0.6,Yes,Yes,Westridge
"(26, 30)",male,european/caucasian-american,Non-Vegetarian,finance,0.9,1.0,0.75,1.0,1.0,0.4,0.8,1.0,0.4,1.0,0.6,Sometimes,Occasionally,Albert Park
"(21, 25)",male,european/caucasian-american,Non-Vegetarian,law,0.75,0.6,1.0,0.9,0.875,0.75,1.0,0.6,0.9,0.9,1.0,Yes,Occasionally,Gardiner Heights
"(21, 25)",male,european/caucasian-american,Non-Vegetarian,law,0.75,0.6,1.0,0.9,0.875,0.75,1.0,0.6,0.9,0.9,1.0,No,No,Wascana View
"(21, 25)",male,european/caucasian-american,Non-Vegetarian,law,0.75,0.6,1.0,0.9,0.875,0.75,1.0,0.6,0.9,0.9,1.0,Sometimes,No,Wascana Addition
"(21, 25)",male,european/caucasian-american,Vegetarian,law,0.75,0.6,1.0,0.9,0.875,0.75,1.0,0.6,0.9,0.9,1.0,Yes,Occasionally,Lakeview
"(21, 25)",male,european/caucasian-american,Non-Vegetarian,law,0.75,0.6,1.0,0.9,0.875,0.75,1.0,0.6,0.9,0.9,1.0,No,No,Lakeview South
"(21, 25)",male,european/caucasian-american,Vegetarian,law,0.75,0.6,1.0,0.9,0.875,0.75,1.0,0.6,0.9,0.9,1.0,Yes,Yes,Lakeview
"(21, 25)",male,european/caucasian-american,Vegetarian,law,0.75,0.6,1.0,0.9,0.875,0.75,1.0,0.6,0.9,0.9,1.0,Sometimes,Occasionally,Westridge
"(21, 25)",male,european/caucasian-american,Non-Vegetarian,law,0.75,0.6,1.0,0.9,0.875,0.75,1.0,0.6,0.9,0.9,1.0,Yes,Occasionally,Riverside
"(21, 25)",male,european/caucasian-american,Vegetarian,law,0.75,0.6,1.0,0.9,0.875,0.75,1.0,0.6,0.9,0.9,1.0,Sometimes,Yes,CPR Annex
"(21, 25)",male,european/caucasian-american,Non-Vegetarian,law,0.75,0.6,1.0,0.9,0.875,0.75,1.0,0.6,0.9,0.9,1.0,No,Yes,Maple Ridge
"(21, 25)",male,asian/pacific islander/asian-american,Non-Vegetarian,law,0.75,0.875,0.9,0.9,1.0,1.0,0.875,0.8,0.4,0.875,1.0,Sometimes,No,Wascana Crescents
"(21, 25)",male,asian/pacific islander/asian-american,Non-Vegetarian,law,0.75,0.875,0.9,0.9,1.0,1.0,0.875,0.8,0.4,0.875,1.0,Sometimes,Yes,Garden Ridge
"(21, 25)",male,asian/pacific islander/asian-american,Vegetarian,law,0.75,0.875,0.9,0.9,1.0,1.0,0.875,0.8,0.4,0.875,1.0,Yes,Yes,University Park
"(21, 25)",male,asian/pacific islander/asian-american,Non-Vegetarian,law,0.75,0.875,0.9,0.9,1.0,1.0,0.875,0.8,0.4,0.875,1.0,Sometimes,Yes,Kensington Greens
"(21, 25)",male,asian/pacific islander/asian-american,Non-Vegetarian,law,0.75,0.875,0.9,0.9,1.0,1.0,0.875,0.8,0.4,0.875,1.0,Sometimes,No,Rosemont
"(21, 25)",male,asian/pacific islander/asian-american,Non-Vegetarian,law,0.75,0.875,0.9,0.9,1.0,1.0,0.875,0.8,0.4,0.875,1.0,Sometimes,Occasionally,Wascana Addition
"(21, 25)",male,asian/pacific islander/asian-american,Vegetarian,law,0.75,0.875,0.9,0.9,1.0,1.0,0.875,0.8,0.4,0.875,1.0,Yes,Yes,Assiniboia Place
"(21, 25)",male,asian/pacific islander/asian-american,Non-Vegetarian,law,0.75,0.875,0.9,0.9,1.0,1.0,0.875,0.8,0.4,0.875,1.0,No,Occasionally,Fairways West
"(21, 25)",male,asian/pacific islander/asian-american,Non-Vegetarian,law,0.75,0.875,0.9,0.9,1.0,1.0,0.875,0.8,0.4,0.875,1.0,Yes,Yes,Arcola Sub
"(21, 25)",male,asian/pacific islander/asian-american,Vegetarian,law,0.75,0.875,0.9,0.9,1.0,1.0,0.875,0.8,0.4,0.875,1.0,Sometimes,No,Dominion Heights
"(21, 25)",male,european/caucasian-american,Vegetarian,law,0.75,1.0,1.0,1.0,1.0,0.875,1.0,1.0,1.0,1.0,1.0,Sometimes,Occasionally,Wascana Park
"(21, 25)",male,european/caucasian-american,Vegetarian,law,0.75,1.0,1.0,1.0,1.0,0.875,1.0,1.0,1.0,1.0,1.0,Yes,No,Richmond Place
"(21, 25)",male,european/caucasian-american,Vegetarian,law,0.75,1.0,1.0,1.0,1.0,0.875,1.0,1.0,1.0,1.0,1.0,Sometimes,Occasionally,River Heights
"(21, 25)",male,european/caucasian-american,Vegetarian,law,0.75,1.0,1.0,1.0,1.0,0.875,1.0,1.0,1.0,1.0,1.0,No,No,Rosemont South
"(21, 25)",male,european/caucasian-american,Vegetarian,law,0.75,1.0,1.0,1.0,1.0,0.875,1.0,1.0,1.0,1.0,1.0,No,Yes,Eastgate
"(21, 25)",male,european/caucasian-american,Non-Vegetarian,law,0.75,1.0,1.0,1.0,1.0,0.875,1.0,1.0,1.0,1.0,1.0,No,No,Industrial Centre
"(21, 25)",male,european/caucasian-american,Vegetarian,law,0.75,1.0,1.0,1.0,1.0,0.875,1.0,1.0,1.0,1.0,1.0,No,Occasionally,Belvedere
"(21, 25)",male,european/caucasian-american,Vegetarian,law,0.75,1.0,1.0,1.0,1.0,0.875,1.0,1.0,1.0,1.0,1.0,Sometimes,Yes,Riverside
"(21, 25)",male,european/caucasian-american,Vegetarian,law,0.75,1.0,1.0,1.0,1.0,0.875,1.0,1.0,1.0,1.0,1.0,Yes,Yes,Wood Meadows
"(21, 25)",male,european/caucasian-american,Non-Vegetarian,law,0.75,1.0,1.0,1.0,1.0,0.875,1.0,1.0,1.0,1.0,1.0,No,Yes,Belvedere
"(21, 25)",male,latino/hispanic american,Non-Vegetarian,law,1.0,0.875,0.875,0.875,0.9,0.75,0.9,0.75,0.9,0.9,1.0,No,Occasionally,Douglas Park
"(21, 25)",male,latino/hispanic american,Non-Vegetarian,law,1.0,0.875,0.875,0.875,0.9,0.75,0.9,0.75,0.9,0.9,1.0,Yes,Occasionally,Parliament Place
"(21, 25)",male,latino/hispanic american,Vegetarian,law,1.0,0.875,0.875,0.875,0.9,0.75,0.9,0.75,0.9,0.9,1.0,Sometimes,No,Windsor Place
"(21, 25)",male,latino/hispanic american,Vegetarian,law,1.0,0.875,0.875,0.875,0.9,0.75,0.9,0.75,0.9,0.9,1.0,No,Occasionally,Douglas Place
"(21, 25)",male,latino/hispanic american,Non-Vegetarian,law,1.0,0.875,0.875,0.875,0.9,0.75,0.9,0.75,0.9,0.9,1.0,Sometimes,Occasionally,Hillsdale
"(21, 25)",male,latino/hispanic american,Non-Vegetarian,law,1.0,0.875,0.875,0.875,0.9,0.75,0.9,0.75,0.9,0.9,1.0,Sometimes,Occasionally,Assiniboia Place
"(21, 25)",male,latino/hispanic american,Vegetarian,law,1.0,0.875,0.875,0.875,0.9,0.75,0.9,0.75,0.9,0.9,1.0,Yes,Yes,Regent Park
"(21, 25)",male,latino/hispanic american,Non-Vegetarian,law,1.0,0.875,0.875,0.875,0.9,0.75,0.9,0.75,0.9,0.9,1.0,Yes,No,Rosemont North
"(21, 25)",male,latino/hispanic american,Non-Vegetarian,law,1.0,0.875,0.875,0.875,0.9,0.75,0.9,0.75,0.9,0.9,1.0,Sometimes,No,Wascana Park
"(21, 25)",male,latino/hispanic american,Non-Vegetarian,law,1.0,0.875,0.875,0.875,0.9,0.75,0.9,0.75,0.9,0.9,1.0,Yes,Occasionally,Spruce Meadows
"(21, 25)",male,european/caucasian-american,Vegetarian,business,1.0,1.0,0.875,1.0,1.0,0.6,1.0,1.0,0.75,0.875,0.4,No,No,Wascana View
